Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name
Heinz Neddermayer	/m/0j3zpfh	['street sweeper']	['express', 'publish', 'arrest']	-5.7499866	-34.238422	-9.3197	7	30843639		False	2011.0	M	1.85		Douglas Booth	18.0		['Drama', 'Period piece', 'Biography']	Christopher and His Kind
Harold Crick	/m/02_2_6x	['auditor']	['die', 'give', 'believe']	5.95122	-42.47083	12.414808	16	4155050		False	2006.0	M	1.91		Will Ferrell	39.0	53653224.0	['Drama', 'Comedy', 'Fantasy']	Stranger Than Fiction
Karen Eiffel	/m/02_2_8g	['author']	['struggle', 'learn', 'admit']	9.032911	-19.43782	34.196045	24	4155050		False	2006.0	F	1.71	/m/0d7wh	Emma Thompson	47.0	53653224.0	['Drama', 'Comedy', 'Fantasy']	Stranger Than Fiction
Reiko Asakawa	/m/0bhszg	['reporter']	['realize', 'create', 'curse']	20.8696	-0.75311553	33.603333	34	180785		False	1998.0	F	1.72		Nanako Matsushima	24.0		['Horror', 'Mystery', 'Japanese Movies']	Ring
Tomoko Ôishi	/m/0h6ds4q		['girl', 'reveal', 'die']	7.6287603	14.768109	-32.81549	29	180785		False	1998.0	F	1.601		Yūko Takeuchi	17.0		['Horror', 'Mystery', 'Japanese Movies']	Ring
Vishwam	/m/0h8n2ck		['brother', 'shy', 'see']	43.558277	1.4638642	-6.5207443	17	12558882		False	1975.0	M	1.78	/m/0dryh9k	Naseeruddin Shah	25.0		['Drama', 'World cinema', 'Crime Fiction']	Nishant
Dylan Hunt	/m/01rp3g	['scientist']	['work', 'agree', 'ask']	13.628706	-32.07205	-23.9746	33	2573688		False	1973.0	M			Alex Cord	39.0		['Science Fiction', 'Television movie', 'Dystopia']	Genesis II
Jade	/m/0h2h884		['ask', 'infiltrate', 'beat']	21.742765	-16.207832	30.169582	0	214148		False	2003.0	F	1.75		Jaime King	23.0	37713879.0	['Comedy', 'Action', 'Thriller']	Bulletproof Monk
Nina von Stauffenberg	/m/0cg_slr	['Colonel']	['present', 'get', 'extract']	-16.355663	8.500951	10.050262	30	10552268		False	2008.0	F		/m/05l3g_	Carice van Houten	32.0	200276784.0	['Drama', 'Thriller', 'War film']	Valkyrie
Major Otto Ernst Remer	/m/0cg_sl_	['Major']	['realize', 'stop', 'arrest']	-1.974109	38.50854	4.4990206	1	10552268		False	2008.0	M	1.76	/m/013xrm	Thomas Kretschmann	46.0	200276784.0	['Drama', 'Thriller', 'War film']	Valkyrie
General Friedrich Fromm	/m/0cg_sn5	['General']	['threaten', 'learn', 'initiate']	-26.73703	13.787934	16.359316	13	10552268		False	2008.0	M	1.85	/m/02w7gg	Tom Wilkinson	60.0	200276784.0	['Drama', 'Thriller', 'War film']	Valkyrie
Kusum 'Kusi'	/m/0h71lj0		['get', 'help', 'story']	-3.031901	-11.815882	-2.2322793	2	6958567		False	1981.0	F		/m/0dryh9k	Swaroop Sampat	23.0		['Drama', 'Comedy']	Naram Garam
David Ershon	/m/087vvmx		['realize', 'make', 'pay']	-2.6466389	33.4809	6.931477	1	2549266		False	2010.0	M	1.79	/m/02g7sp	Steve Coogan	44.0	170432927.0	['Comedy', 'Action', 'Crime Fiction']	The Other Guys
Captain Gene Mauch	/m/0clf19w	['Capt.']	['capt.', 'back', 'split']	20.854807	-13.920791	29.479923	0	2549266		False	2010.0	M	1.78	/m/07bch9	Michael Keaton	58.0	170432927.0	['Comedy', 'Action', 'Crime Fiction']	The Other Guys
Detective Allen Gamble	/m/087vvpj	['pimp', 'accountant', 'Detective']	['convince', 'receive', 'try']	5.514825	-6.575722	-0.30867186	2	2549266		False	2010.0	M	1.91		Will Ferrell	43.0	170432927.0	['Comedy', 'Action', 'Crime Fiction']	The Other Guys
